sweep,energy_per_spin,abs_magnetization_per_spin
163,-1.6250000000,0.8750000000
164,-1.5312500000,0.8437500000
165,-1.5937500000,0.8671875000
166,-1.7500000000,0.9218750000
167,-1.6718750000,0.8984375000
168,-1.7187500000,0.8906250000
169,-1.6406250000,0.8750000000
170,-1.7343750000,0.9218750000
171,-1.8593750000,0.9609375000
172,-1.9062500000,0.9765625000
173,-1.8750000000,0.9687500000
174,-1.9687500000,0.9921875000
175,-1.9218750000,0.9765625000
176,-1.7656250000,0.9375000000
177,-1.6718750000,0.8984375000
178,-1.6093750000,0.8281250000
179,-1.6562500000,0.8437500000
180,-1.6718750000,0.8515625000
181,-1.6562500000,0.8750000000
182,-1.7500000000,0.8984375000
183,-1.8125000000,0.9140625000
184,-1.7031250000,0.8828125000
185,-1.6250000000,0.8437500000
186,-1.7656250000,0.9140625000
187,-1.8750000000,0.9218750000
188,-1.7812500000,0.9062500000
189,-1.8750000000,0.9531250000
190,-1.8281250000,0.9453125000
191,-1.9062500000,0.9687500000
192,-1.9531250000,0.9843750000
193,-1.8750000000,0.9531250000
194,-1.6875000000,0.9218750000
195,-1.6718750000,0.8984375000
196,-1.7500000000,0.9218750000
197,-1.9375000000,0.9843750000
198,-1.9687500000,0.9921875000
199,-1.9062500000,0.9765625000
200,-1.7656250000,0.9375000000
201,-1.7968750000,0.9218750000
202,-1.7968750000,0.9218750000
203,-1.7187500000,0.9140625000
204,-1.6250000000,0.8906250000
205,-1.6093750000,0.8671875000
206,-1.4843750000,0.8203125000
207,-1.6562500000,0.8984375000
208,-1.7500000000,0.9375000000
209,-1.7343750000,0.9062500000
210,-1.7187500000,0.8828125000
211,-1.7187500000,0.9140625000
212,-1.8593750000,0.9609375000
213,-1.7656250000,0.9218750000
214,-1.7031250000,0.9140625000
215,-1.7500000000,0.9218750000
216,-1.7968750000,0.9375000000
217,-1.8906250000,0.9687500000
218,-1.8437500000,0.9531250000
219,-1.7968750000,0.9453125000
220,-1.7187500000,0.9140625000
221,-1.8281250000,0.9375000000
222,-1.7187500000,0.9140625000
223,-1.5312500000,0.8515625000
224,-1.6093750000,0.8750000000
225,-1.5625000000,0.8671875000
226,-1.6093750000,0.8750000000
227,-1.6406250000,0.8671875000
228,-1.6250000000,0.8750000000
229,-1.7031250000,0.9062500000
230,-1.7812500000,0.9375000000
231,-1.7812500000,0.9375000000
232,-1.7812500000,0.9375000000
233,-1.8437500000,0.9609375000
234,-1.8281250000,0.9375000000
235,-1.8281250000,0.9453125000
236,-1.8750000000,0.9687500000
237,-1.8906250000,0.9687500000
238,-1.7968750000,0.9453125000
239,-1.9375000000,0.9843750000
240,-1.6250000000,0.8906250000
241,-1.7343750000,0.9296875000
242,-1.7500000000,0.9375000000
243,-1.7968750000,0.9453125000
